,volume[m2],15890,15301,15416,16186,15182,16271,16401,15181,16143,15995,17309,16815,16913,17672,16712,17759,17868,16710,17585,17432,18741,18227,18336,19111,18135,19182,19345,18132,19039,18877,20222,19697,19806,20577,19594,20654,20791,19593,20508,20355,21791,21148,21280,22154,21060,22212,22348,21058,22069,21927,23211,22698,22786,23533,22599,23598,23716,22597,23477,23307,24660,24079,24208,25000,23999,25072,25221,23998,24944,24782,26157,25621,25710,26488,25497,26558,26722,25496,26427,26278,27565,27051,27158,27897,26966,27998,28180,26965,27839,27709,29120,28539,28634,29427,28440,29501,29639,28432,29374,29232,29729,29734,29737,29739,29740,29742,29746,29748,29750,29753,29769,29770,29772,29777,29778,29782,29786,29793,29794,29797,29801,29804,29810,29811,29814,29815,29817,29818,29820,29821,29824,29826,29827,29829,29832,29834,29836,29837,29838,29843,29848,29849,29850,29851,29856,29859,29865,29866,29867,29868,29870,29874,29875,29876,29879,29880,29881,29883,29889,29891,29893,29898,29902,29904,29909,29911,29913,29917,29919,29920,29922,29923,29927,29928,29930,29934,29937,29940,29947,29950,29952,29956,29961,29970,29975,29977,29982,29983,29989,29990,29992,29997,29998
2019-04-01,1261734,1262561,1266775,1271521,1265600,1276669,1274252,1289409,1266311,1260687,1267607,1259594,1268348,1263073,1261530,1281133,1277151,1258500,1281133,1276071,1271024,1267514,1260877,1275023,1276137,1269835,1273553,1268800,1277702,1277896,1272093,1269257,1258954,1285533,1285765,1280956,1278588,1272934,1277151,1274639,1272906,1275625,1256997,1275433,1272517,1266020,1271655,1293799,1271103,1263821,1275168,1294348,1256398,1267969,1271342,1274783,1276829,1279856,1265058,1264479,1274686,1269641,1280753,1281404,1270167,1279702,1271225,1279085,1272955,1258748,1272275,1262038,1273200,1269484,1273238,1270318,1271126,1269131,1270318,1279190,1286149,1269979,1278183,1251096,1282232,1276894,1269343,1277516,1276894,1273941,1275667,1266478,1271787,1270287,1266049,1258751,1270549,1268162,1256304,1268619,1265988,1270967,1268118,1268118,1268040,1268040,1280777,1278814,1278814,1282619,1268680,1268680,1276264,1279654,1270675,1272654,1279626,1276436,1276436,1280816,1280816,1276549,1280546,1269018,1267533,1267533,1264038,1264038,1265476,1272730,1277876,1274355,1278423,1283704,1273610,1266597,1266597,1269940,1273361,1273361,1275144,1272630,1270874,1276694,1270860,1264683,1264683,1275681,1275681,1265139,1277169,1277169,1277169,1268554,1272204,1272928,1278214,1281683,1266430,1266430,1266430,1268852,1269291,1273399,1268655,1261844,1261844,1268415,1262331,1280735,1271257,1270709,1272054,1272934,1273782,1283227,1283227,1264630,1261884,1272847,1265755,1265755,1257907,1266123,1275292,1269878,1269878,1278158,1281778,1273520,1285623,1286486,1283152,1269350
2019-04-02,1254255,1265862,1270010,1275000,1269201,1280000,1277780,1292562,1269523,1263806,1270927,1263203,1271588,1266476,1264883,1283692,1280424,1262098,1283692,1279278,1274497,1270746,1264162,1278598,1279379,1272997,1277059,1272437,1280726,1281260,1275899,1272725,1262750,1288584,1288902,1284274,1281768,1276311,1280534,1277818,1276184,1279135,1260476,1278830,1275801,1269550,1275370,1296704,1274551,1267493,1278475,1297938,1260127,1271752,1274777,1278186,1280265,1283287,1268391,1267567,1278390,1272993,1283979,1284722,1273769,1283070,1274537,1282176,1276245,1262738,1275745,1265484,1276423,1273447,1276535,1273688,1274584,1272609,1273688,1282281,1289507,1273874,1281975,1254722,1285365,1279892,1272495,1280924,1279892,1277244,1279236,1270067,1275260,1273482,1269606,1262617,1273657,1271355,1260141,1272089,1269620,1274626,1271818,1271818,1271739,1271739,1284568,1282582,1282582,1286432,1272328,1272328,1279799,1283137,1274091,1276095,1282958,1279730,1279730,1284162,1284162,1279961,1284006,1272395,1270933,1270933,1267396,1267396,1268851,1275992,1281199,1277733,1281737,1287091,1277153,1270043,1270043,1273335,1276797,1276797,1278601,1276069,1274292,1280153,1274250,1268167,1268167,1278996,1278996,1268617,1280814,1280814,1280814,1272136,1275731,1276464,1281669,1285162,1269728,1269728,1269728,1272179,1272621,1276779,1271978,1265271,1265271,1271921,1265764,1284302,1274965,1274411,1275766,1276632,1277490,1286795,1286795,1268063,1265297,1276391,1269200,1269200,1261469,1269784,1278816,1273337,1273337,1281489,1285152,1276796,1289066,1289935,1286653,1272752
2019-04-03,1249496,1263557,1267624,1272870,1267222,1277693,1275705,1290041,1267113,1261310,1268633,1261267,1269212,1264296,1262663,1280534,1278069,1260154,1280534,1276859,1272379,1268377,1261867,1276576,1277011,1270541,1274985,1270514,1278096,1279026,1274151,1270617,1261022,1285970,1286398,1281956,1279332,1274104,1278296,1275387,1273857,1277064,1258435,1276653,1273504,1267534,1273528,1293914,1272431,1265651,1276192,1295897,1258326,1269985,1272638,1275980,1278115,1281120,1266135,1265053,1276517,1270755,1281588,1282432,1271804,1280835,1272246,1279620,1273943,1261232,1273638,1263347,1274017,1271876,1274210,1271452,1272441,1270508,1271452,1279716,1287208,1272229,1280192,1252835,1282841,1277241,1270027,1278726,1277241,1274931,1277213,1268094,1273150,1271084,1267586,1260978,1271118,1268930,1258477,1269977,1267693,1272713,1269959,1269959,1269880,1269880,1282775,1280769,1280769,1284657,1270411,1270411,1277735,1281007,1271908,1273932,1280656,1277395,1277395,1281872,1281872,1277757,1281843,1270172,1268740,1268740,1265166,1265166,1266636,1273632,1278892,1275497,1279420,1284838,1275100,1267904,1267904,1271130,1274627,1274627,1276450,1273904,1272109,1278001,1272037,1266076,1266076,1276687,1276687,1266516,1278862,1278862,1278862,1270139,1273663,1274403,1279504,1283015,1267423,1267423,1267423,1269899,1270344,1274544,1269694,1263122,1263122,1269840,1263620,1282254,1273099,1272540,1273902,1274752,1275618,1284740,1284740,1265912,1263131,1274339,1267061,1267061,1259482,1267882,1276737,1271202,1271202,1279189,1282889,1274448,1286866,1287739,1284524,1270552
2019-04-04,1237375,1258107,1262082,1267605,1262133,1272225,1270504,1284337,1261546,1255656,1263192,1256254,1263690,1258997,1257333,1274129,1272566,1255131,1274129,1271291,1267146,1262875,1256452,1271436,1271513,1264937,1269811,1265509,1272289,1273679,1269331,1265407,1256238,1280179,1280743,1276484,1273762,1268794,1272920,1269824,1268401,1271897,1253343,1271388,1268111,1262448,1268612,1287927,1267223,1260775,1270805,1290733,1253461,1265148,1267407,1270646,1272867,1275847,1260760,1259407,1271554,1265402,1276070,1277027,1266756,1275489,1266827,1273898,1268532,1256703,1268438,1258094,1268458,1267254,1268741,1266085,1267178,1265307,1266085,1273976,1281740,1267529,1275328,1247900,1277146,1271422,1264412,1273410,1271422,1269485,1272085,1263036,1267944,1265576,1262465,1256308,1265405,1263363,1253783,1264761,1262685,1267713,1265023,1265023,1264943,1264943,1277894,1275869,1275869,1279794,1265410,1265410,1272562,1275755,1266605,1268649,1275209,1271916,1271916,1276437,1276437,1272423,1276548,1264828,1263430,1263430,1259821,1259821,1261306,1268131,1273442,1270130,1273957,1279437,1269936,1262656,1262656,1265804,1269335,1269335,1271175,1268619,1266807,1272723,1266702,1260884,1260884,1271238,1271238,1261314,1273802,1273802,1273802,1265042,1268482,1269229,1274207,1277733,1261989,1261989,1261989,1264490,1264936,1269177,1264280,1257867,1257867,1264651,1258370,1277083,1268145,1267580,1268948,1269778,1270653,1279559,1279559,1260650,1257858,1269176,1261813,1261813,1254413,1262896,1271542,1265953,1265953,1273745,1277481,1268958,1281519,1282396,1279259,1265227
2019-04-05,1223509,1249980,1253853,1259673,1254399,1264068,1262647,1275926,1253291,1247315,1255073,1248625,1255491,1251045,1249360,1264958,1264385,1247494,1264958,1263045,1259266,1254712,1248386,1263649,1263356,1256656,1262007,1257887,1263780,1265689,1261905,1257564,1248859,1271687,1272413,1268332,1265531,1260849,1264874,1261601,1260286,1264103,1245663,1263505,1260091,1254759,1261089,1279222,1259396,1253330,1262783,1282918,1245995,1257705,1259554,1262653,1264991,1267938,1252732,1251098,1263969,1257405,1267898,1268980,1259089,1267502,1258753,1265485,1260482,1249612,1260612,1250192,1260218,1260045,1260600,1258057,1259264,1257477,1258057,1265537,1273580,1260238,1267849,1240378,1268757,1262912,1256122,1265446,1262912,1261377,1264322,1255360,1260108,1257427,1254709,1249069,1256992,1255125,1246520,1256911,1255063,1260094,1257477,1257477,1257396,1257396,1270394,1268350,1268350,1272311,1257793,1257793,1264748,1267853,1258653,1260716,1267091,1263767,1263767,1268330,1268330,1264429,1268594,1256832,1255473,1255473,1251830,1251830,1253329,1259960,1265321,1262104,1265821,1271362,1262129,1254767,1254767,1257827,1261392,1261392,1263249,1260684,1258854,1264792,1258714,1253058,1253058,1263121,1263121,1253476,1266104,1266104,1266104,1257313,1260658,1261412,1266250,1269788,1253896,1253896,1253896,1256420,1256868,1261150,1256206,1249973,1249973,1256822,1250481,1269262,1260569,1259998,1261371,1262179,1263062,1271723,1271723,1252747,1249945,1261369,1253924,1253924,1246729,1255292,1263699,1258058,1258058,1265630,1269400,1260798,1273498,1274378,1271330,1257249
2019-04-06,1207661,1238693,1242454,1248587,1243533,1252734,1251644,1264319,1241865,1235803,1243790,1237894,1244130,1239955,1238258,1252541,1253041,1236753,1252541,1251636,1248250,1243400,1237185,1252723,1252051,1245212,1251080,1247157,1252083,1254567,1251379,1246599,1238395,1260006,1260918,1257010,1254152,1249781,1253672,1250232,1249026,1253191,1234908,1252514,1248955,1243977,1250467,1267312,1248459,1242824,1251638,1271958,1235438,1247164,1248588,1251515,1253997,1256903,1241568,1239642,1253270,1246275,1256583,1257801,1248315,1256384,1247535,1253895,1249304,1239467,1249672,1239155,1248811,1249755,1249300,1246881,1248210,1246527,1246881,1253912,1262239,1249863,1257263,1229783,1257185,1251225,1244673,1254344,1251225,1250118,1253431,1244577,1249154,1246151,1243831,1238770,1245396,1243731,1236199,1245939,1244336,1249365,1246830,1246830,1246749,1246749,1259781,1257719,1257719,1261715,1247070,1247070,1253805,1256810,1247563,1249644,1255812,1252459,1252459,1257062,1257062,1253289,1257490,1245697,1244382,1244382,1240707,1240707,1242219,1248634,1254042,1250930,1254525,1260124,1251190,1243751,1243751,1246712,1250308,1250308,1252183,1249611,1247765,1253718,1247586,1242112,1242112,1251849,1251849,1242517,1255278,1255278,1255278,1246462,1249701,1250461,1255144,1258691,1242659,1242659,1242659,1245205,1245654,1249974,1244986,1238955,1238955,1245865,1239467,1258299,1249880,1249305,1250681,1251463,1252355,1260742,1260742,1241715,1238905,1250431,1242908,1242908,1235941,1244581,1252722,1247031,1247031,1254355,1258159,1249481,1262313,1263195,1260247,1246129
2019-04-07,1189833,1224378,1228018,1234478,1229664,1238358,1237627,1249653,1227401,1221258,1229477,1224190,1229740,1225857,1224161,1237019,1238665,1223040,1237019,1237197,1234230,1229072,1222980,1238789,1237733,1230741,1237162,1233448,1237334,1240444,1237881,1232642,1224975,1245274,1246394,1242653,1239757,1235721,1239445,1235848,1234753,1239293,1221208,1238545,1234836,1230230,1236876,1252336,1234543,1229383,1237502,1257986,1221921,1233655,1234641,1237362,1240016,1242873,1227398,1225176,1239585,1232146,1242258,1243622,1234563,1242268,1233307,1239264,1235131,1226392,1235747,1225117,1234373,1236511,1234976,1232689,1234149,1232590,1232689,1239240,1247850,1236532,1243701,1216248,1242567,1236498,1230198,1240238,1236498,1235843,1239546,1230818,1235213,1231883,1229962,1225538,1230752,1229316,1222947,1231975,1230635,1235657,1233212,1233212,1233130,1233130,1246185,1244107,1244107,1248135,1233370,1233370,1239864,1242759,1233470,1235568,1241508,1238127,1238127,1242768,1242768,1239135,1243370,1231557,1230291,1230291,1226585,1226585,1228110,1234286,1239739,1236743,1240204,1245858,1237252,1229740,1229740,1232593,1236219,1236219,1238108,1235532,1233671,1239634,1233452,1228178,1228178,1237557,1237557,1228568,1241454,1241454,1241454,1232622,1235744,1236511,1241022,1244574,1228410,1228410,1228410,1230978,1231428,1235783,1230754,1224946,1224946,1231912,1225462,1244326,1236209,1235629,1237008,1237763,1238662,1246747,1246747,1227687,1224873,1236494,1228896,1228896,1222183,1230892,1238740,1233002,1233002,1240057,1243891,1235142,1248099,1248983,1246143,1232001
2019-04-08,1171467,1208168,1211681,1218481,1213924,1222074,1221728,1233070,1211036,1204810,1213268,1208640,1213457,1209885,1208197,1219536,1222394,1207481,1219536,1220864,1218338,1212864,1206903,1222980,1221537,1214376,1221386,1217892,1220672,1224455,1222540,1216826,1209724,1228630,1229979,1226397,1223483,1219803,1223329,1219587,1218602,1223540,1205689,1222731,1218867,1214649,1221445,1235440,1218780,1214138,1221510,1242143,1206569,1218307,1218846,1221331,1224181,1226983,1211357,1208833,1224049,1216150,1226062,1227580,1218965,1226289,1217203,1222731,1219099,1211514,1219972,1209208,1218038,1221441,1218764,1216617,1218216,1216800,1216617,1222658,1231555,1221375,1228294,1200892,1226042,1219872,1213836,1224262,1219872,1219688,1223799,1215215,1219420,1215758,1214235,1210500,1214201,1213018,1207890,1216155,1215092,1220102,1217755,1217755,1217672,1217672,1230743,1228648,1228648,1232708,1217828,1217828,1224060,1226838,1217508,1219623,1225316,1221909,1221909,1226586,1226586,1223104,1227372,1215548,1214333,1214333,1210599,1210599,1212135,1218055,1223550,1220678,1223995,1229701,1221449,1213869,1213869,1216604,1220258,1220258,1222162,1219583,1217707,1223677,1217447,1212389,1212389,1221381,1221381,1212763,1225766,1225766,1225766,1216926,1219921,1220694,1225019,1228576,1212288,1212288,1212288,1214875,1215325,1219714,1214646,1209077,1209077,1216097,1209598,1228481,1220689,1220105,1221485,1222210,1223115,1230878,1230878,1211797,1208981,1220690,1213024,1213024,1206582,1215359,1222890,1217108,1217108,1223870,1227735,1218918,1231995,1232880,1230157,1215999
2019-04-09,1151627,1190886,1194268,1201422,1197136,1204716,1204778,1215405,1193593,1187282,1195989,1192063,1196106,1192860,1191189,1200930,1205060,1190894,1200930,1203468,1201401,1195600,1189775,1206126,1204292,1196947,1204578,1201313,1202929,1207431,1206185,1199977,1193461,1210911,1212508,1209077,1206163,1202854,1206156,1202278,1201402,1206763,1189168,1205903,1201877,1198058,1205003,1217461,1201997,1197908,1204491,1225260,1190200,1201944,1202030,1204250,1207324,1210066,1194268,1191437,1207489,1199116,1208827,1210508,1202347,1209280,1200052,1205129,1202036,1195650,1203174,1192251,1200638,1205371,1201492,1199492,1201238,1199981,1199492,1205001,1214187,1205217,1211873,1184533,1208446,1202178,1196412,1207248,1202178,1202482,1207021,1198591,1202602,1198602,1197474,1194473,1196569,1195661,1191842,1199303,1198531,1203529,1201284,1201284,1201200,1201200,1214282,1212171,1212171,1216262,1201267,1201267,1207225,1209878,1200505,1202636,1208070,1204637,1204637,1209350,1209350,1206027,1210328,1198494,1197335,1197335,1193571,1193571,1195119,1200769,1206306,1203566,1206731,1212489,1204610,1196960,1196960,1199573,1203255,1203255,1205174,1202593,1200702,1206677,1200398,1195567,1195567,1204153,1204153,1195925,1209047,1209047,1209047,1200199,1203060,1203839,1207970,1211530,1195114,1195114,1195114,1197722,1198173,1202596,1197489,1192171,1192171,1199246,1192696,1211596,1204147,1203558,1204940,1205633,1206546,1213965,1213965,1194869,1192049,1203851,1196114,1196114,1189958,1198804,1206002,1200175,1200175,1206630,1210524,1201639,1214834,1215720,1213120,1198952
