,C1_lm,a_gamma_lm,b_gamma_lm,coef_flow,beta,const_flow,stage_flow,std_lm,met_input
66,29864542.658,1.000,36.226,-6517.970,1.188,-37957.361,15.500,112845.572,Rch_000
67,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,112845.572,Rch_000
68,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,117557.990,Rch_000
69,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,110693.282,Rch_000
70,29864542.658,1.000,36.226,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
71,29857638.867,1.000,36.226,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
72,29857638.867,1.000,36.911,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
73,29857638.867,1.000,36.334,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
74,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
75,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,103625.701,Rch_000
76,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,98803.516,Rch_000
77,29857638.867,1.000,36.606,-6520.164,1.186,-37957.361,15.500,98803.516,Rch_000
78,29857638.867,1.000,36.606,-6520.164,1.186,-38186.776,15.500,98803.516,Rch_000
79,29857638.867,1.000,36.606,-6502.034,1.186,-38186.776,15.500,98803.516,Rch_000
80,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,98803.516,Rch_000
81,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,104695.386,Rch_000
82,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,110484.602,Rch_000
83,29857638.867,1.000,36.606,-6493.939,1.186,-38186.776,15.500,110484.602,Rch_000
84,29857638.867,1.000,36.606,-6493.939,1.187,-38186.776,15.500,110484.602,Rch_000
85,29857638.867,1.000,36.606,-6493.939,1.187,-38186.776,15.500,103861.616,Rch_000
86,29857638.867,1.000,36.606,-6490.340,1.187,-38186.776,15.500,103861.616,Rch_000
87,29857638.867,1.000,36.446,-6490.340,1.187,-38186.776,15.500,103861.616,Rch_000
88,29857638.867,1.000,36.934,-6490.340,1.187,-38186.776,15.500,103861.616,Rch_000
89,29857638.867,1.000,36.934,-6461.965,1.187,-38186.776,15.500,103861.616,Rch_000
90,29857638.867,1.000,36.934,-6461.965,1.187,-38186.776,15.500,111051.678,Rch_000
91,29857638.867,1.000,37.282,-6461.965,1.187,-38186.776,15.500,111051.678,Rch_000
92,29857638.867,1.000,37.282,-6471.408,1.187,-38186.776,15.500,111051.678,Rch_000
93,29857638.867,1.000,36.709,-6471.408,1.187,-38186.776,15.500,111051.678,Rch_000
94,29857638.867,1.000,36.929,-6471.408,1.187,-38186.776,15.500,111051.678,Rch_000
95,29857638.867,1.000,36.929,-6471.408,1.187,-38186.776,15.500,109314.484,Rch_000
96,29857638.867,1.000,36.929,-6471.408,1.187,-38186.776,15.500,110348.522,Rch_000
97,29857638.867,1.000,37.307,-6471.408,1.187,-38186.776,15.500,110348.522,Rch_000
98,29857638.867,1.000,36.673,-6471.408,1.187,-38186.776,15.500,110348.522,Rch_000
99,29857638.867,1.000,37.279,-6471.408,1.187,-38186.776,15.500,110348.522,Rch_000
100,29857638.867,1.000,37.279,-6471.408,1.186,-38186.776,15.500,110348.522,Rch_000
101,29857638.867,1.000,37.279,-6471.408,1.187,-38186.776,15.500,110348.522,Rch_000
102,29857638.867,1.000,37.279,-6471.408,1.187,-38186.776,15.500,109282.627,Rch_000
103,29857638.867,1.000,37.279,-6471.408,1.187,-38186.776,15.500,114424.394,Rch_000
104,29857638.867,1.000,37.268,-6471.408,1.187,-38186.776,15.500,114424.394,Rch_000
105,29857638.867,1.000,37.268,-6471.408,1.187,-38186.776,15.500,118695.754,Rch_000
106,29857638.867,1.000,37.343,-6471.408,1.187,-38186.776,15.500,118695.754,Rch_000
107,29857638.867,1.000,37.183,-6471.408,1.187,-38186.776,15.500,118695.754,Rch_000
108,29857638.867,1.000,37.183,-6471.408,1.187,-38186.776,15.500,109329.068,Rch_000
109,29857638.867,1.000,37.183,-6471.408,1.188,-38186.776,15.500,109329.068,Rch_000
110,29857638.867,1.000,37.183,-6471.408,1.188,-38186.776,15.500,116410.267,Rch_000
111,29857638.867,1.000,37.183,-6471.408,1.187,-38186.776,15.500,116410.267,Rch_000
112,29857638.867,1.000,37.183,-6468.150,1.187,-38186.776,15.500,116410.267,Rch_000
113,29857638.867,1.000,37.183,-6468.150,1.188,-38186.776,15.500,116410.267,Rch_000
114,29857638.867,1.000,37.183,-6468.150,1.188,-38186.776,15.500,118282.670,Rch_000
115,29857638.867,1.000,37.367,-6468.150,1.188,-38186.776,15.500,118282.670,Rch_000
116,29857638.867,1.000,36.904,-6468.150,1.188,-38186.776,15.500,118282.670,Rch_000
117,29857638.867,1.000,37.287,-6468.150,1.188,-38186.776,15.500,118282.670,Rch_000
118,29857638.867,1.000,37.287,-6458.426,1.188,-38186.776,15.500,118282.670,Rch_000
119,29857638.867,1.000,37.604,-6458.426,1.188,-38186.776,15.500,118282.670,Rch_000
120,29857638.867,1.000,37.604,-6458.426,1.188,-38186.776,15.500,116495.206,Rch_000
121,29857638.867,1.000,36.969,-6458.426,1.188,-38186.776,15.500,116495.206,Rch_000
122,29857638.867,1.000,36.969,-6458.426,1.188,-38186.776,15.500,121580.397,Rch_000
123,29857638.867,1.000,36.969,-6458.426,1.188,-38186.776,15.500,122470.157,Rch_000
124,29857638.867,1.000,37.177,-6458.426,1.188,-38186.776,15.500,122470.157,Rch_000
125,29857638.867,1.000,37.177,-6458.426,1.190,-38186.776,15.500,122470.157,Rch_000
126,29857638.867,1.000,37.177,-6458.426,1.190,-38186.776,15.500,125905.293,Rch_000
127,29857638.867,1.000,37.177,-6458.426,1.190,-38186.776,15.500,117621.829,Rch_000
128,29857638.867,1.000,37.762,-6458.426,1.190,-38186.776,15.500,117621.829,Rch_000
129,29857638.867,1.000,37.762,-6436.951,1.190,-38186.776,15.500,117621.829,Rch_000
130,29857638.867,1.000,37.720,-6436.951,1.190,-38186.776,15.500,117621.829,Rch_000
