,C1_em,C0_em,a_gamma_em,b_gamma_em,std_em,met_input
79,1335497528.906,-3196782.641,1.931,41.332,95266.117,Rch_005
80,1335497528.906,-3196782.641,1.931,41.333,95266.117,Rch_005
81,1335497528.906,-3196782.641,1.931,41.335,95266.117,Rch_005
82,1335497528.906,-3196782.641,1.931,41.335,112570.587,Rch_005
83,1337426242.823,-3196782.641,1.931,41.335,112570.587,Rch_005
84,1337426242.823,-3196782.641,1.931,41.332,112570.587,Rch_005
85,1337426242.823,-3212283.553,1.931,41.332,112570.587,Rch_005
86,1337426242.823,-3212283.553,1.931,41.332,112570.587,Rch_005
87,1337426242.823,-3195946.468,1.931,41.332,112570.587,Rch_005
88,1337426242.823,-3195946.468,1.925,41.332,112570.587,Rch_005
89,1337426242.823,-3195946.468,1.925,41.334,112570.587,Rch_005
90,1337426242.823,-3195946.468,1.925,41.329,112570.587,Rch_005
91,1337426242.823,-3200768.107,1.925,41.329,112570.587,Rch_005
92,1337426242.823,-3200768.107,1.925,41.329,97134.045,Rch_005
93,1337426242.823,-3200768.107,1.925,41.327,97134.045,Rch_005
94,1337426242.823,-3200768.107,1.925,41.329,97134.045,Rch_005
95,1337426242.823,-3200768.107,1.925,41.330,97134.045,Rch_005
96,1337426242.823,-3200768.107,1.925,41.326,97134.045,Rch_005
97,1337426242.823,-3200768.107,1.925,41.324,97134.045,Rch_005
98,1337426242.823,-3200768.107,1.925,41.324,101267.823,Rch_005
99,1337426242.823,-3200768.107,1.925,41.323,101267.823,Rch_005
100,1335997921.782,-3200768.107,1.925,41.323,101267.823,Rch_005
101,1335997921.782,-3200768.107,1.925,41.326,101267.823,Rch_005
102,1335997921.782,-3200768.107,1.925,41.325,101267.823,Rch_005
103,1335997921.782,-3200768.107,1.925,41.328,101267.823,Rch_005
104,1335997921.782,-3200768.107,1.925,41.330,101267.823,Rch_005
105,1335997921.782,-3200768.107,1.925,41.330,112269.407,Rch_005
106,1335997921.782,-3197289.928,1.925,41.330,112269.407,Rch_005
