,Stage,Area,Volume
185,30.2,2959000.0,13623100.0
186,30.3,2980300.0,13920101.0
187,30.4,2998600.0,14219063.0
188,30.5,3018000.0,14519877.0
189,30.6,3038000.0,14822640.0
190,30.7,3054300.0,15127293.0
191,30.8,3072000.0,15433572.0
192,30.9,3087600.0,15741576.0
193,31.0,3101700.0,16051017.0
194,31.1,3115500.0,16361872.0
195,31.2,3129700.0,16674159.0
196,31.3,3144500.0,16987832.0
197,31.4,3157100.0,17302892.0
198,31.5,3171300.0,17619354.0
199,31.6,3184300.0,17937174.0
200,31.7,3199100.0,18256376.0
201,31.8,3210500.0,18576836.0
202,31.9,3223800.0,18898610.0
203,32.0,3234100.0,19221528.0
204,32.1,3246900.0,19545548.0
205,32.2,3258000.0,19870808.0
206,32.3,3269500.0,20197152.0
207,32.4,3282600.0,20524792.0
208,32.5,3293900.0,20853620.0
209,32.6,3305100.0,21183560.0
210,32.7,3314900.0,21514516.0
211,32.8,3325900.0,21846540.0
212,32.9,3338300.0,22179762.0
213,33.0,3353300.0,22514382.0
214,33.1,3363800.0,22850220.0
215,33.2,3375400.0,23187174.0
216,33.3,3387000.0,23525248.0
217,33.4,3396800.0,23864444.0
218,33.5,3407500.0,24204632.0
219,33.6,3419500.0,24545976.0
220,33.7,3429100.0,24888424.0
221,33.8,3441400.0,25231932.0
222,33.9,3453400.0,25576630.0
223,34.0,3464800.0,25922558.0
224,34.1,3477500.0,26269714.0
225,34.2,3487600.0,26617970.0
226,34.3,3499700.0,26967272.0
227,34.4,3511500.0,27317798.0
228,34.5,3522400.0,27669506.0
229,34.6,3532000.0,28022202.0
230,34.7,3542500.0,28375958.0
231,34.8,3552600.0,28730694.0
232,34.9,3562100.0,29086414.0
233,35.0,3572000.0,29443110.0
234,35.1,3583700.0,29800856.0
235,35.2,3593400.0,30159700.0
236,35.3,3605700.0,30519606.0
237,35.4,3614900.0,30880648.0
238,35.5,3624400.0,31242636.0
239,35.6,3633800.0,31605570.0
240,35.7,3642900.0,31969482.0
241,35.8,3653600.0,32334246.0
242,35.9,3662500.0,32700052.0
243,36.0,3670400.0,33066724.0
244,36.1,3679800.0,33434244.0
245,36.2,3688600.0,33802692.0
246,36.3,3697900.0,34172008.0
247,36.4,3705300.0,34542180.0
248,36.5,3714100.0,34913156.0
249,36.6,3722700.0,35285028.0
250,36.7,3729900.0,35657652.0
251,36.8,3736400.0,36030956.0
252,36.9,3744500.0,36405008.0
253,37.0,3751500.0,36779796.0
254,37.1,3759900.0,37155372.0
255,37.2,3768500.0,37531816.0
256,37.3,3774900.0,37908976.0
257,37.4,3781900.0,38286804.0
258,37.5,3790000.0,38665384.0
259,37.6,3796400.0,39044716.0
260,37.7,3804800.0,39424804.0
261,37.8,3813600.0,39805760.0
262,37.9,3820500.0,40187512.0
263,38.0,3828300.0,40569980.0
264,38.1,3834500.0,40953140.0
265,38.2,3841300.0,41336976.0
266,38.3,3848100.0,41721408.0
267,38.4,3855600.0,42106608.0
268,38.5,3861400.0,42492452.0
269,38.6,3869200.0,42878968.0
270,38.7,3875500.0,43266224.0
271,38.8,3882000.0,43654104.0
272,38.9,3888800.0,44042644.0
